fecha,local,visitante,gl,gv,fase
2014-02-22,León,Santos,4,2,regular
2014-02-22,Atlas,Monterrey,0,1,regular
2014-02-23,Toluca,Chivas,1,0,regular
2014-02-23,Atlante,Puebla,0,0,regular
2014-02-28,Morelia,Atlante,1,2,regular
2014-02-28,Santos,Atlas,2,3,regular
2014-03-01,Veracruz,Tijuana,1,1,regular
2014-03-01,Cruz Azul,Toluca,1,0,regular
2014-03-01,Monterrey,América,1,2,regular
2014-03-01,Chiapas,León,0,3,regular
2014-03-02,Puebla,Querétaro,1,0,regular
2014-03-02,Pumas,Pachuca,0,0,regular
2014-03-02,Chivas,Tigres,0,0,regular
2014-03-07,Morelia,Pumas,3,1,regular
2014-03-07,León,Veracruz,0,1,regular
2014-03-07,Toluca,Puebla,3,0,regular
2014-03-07,Tijuana,Chivas,2,0,regular
2014-03-08,América,Santos,2,4,regular
2014-03-08,Tigres,Cruz Azul,3,0,regular
2014-03-08,Pachuca,Monterrey,2,0,regular
2014-03-08,Atlas,Chiapas,2,2,regular
2014-03-09,Atlante,Querétaro,4,2,regular
2014-03-14,Querétaro,Toluca,0,2,regular
2014-03-15,Veracruz,Atlas,0,1,regular
2014-03-15,Cruz Azul,Tijuana,2,1,regular
2014-03-15,Santos,Pachuca,3,1,regular
2014-03-15,Monterrey,Morelia,0,1,regular
2014-03-15,Chiapas,América,2,2,regular
2014-03-16,Puebla,Tigres,0,1,regular
2014-03-16,Pumas,Atlante,5,0,regular
2014-03-16,Chivas,León,1,0,regular
2014-03-21,Morelia,Santos,2,2,regular
2014-03-21,Tijuana,Puebla,3,1,regular
2014-03-22,América,Veracruz,0,0,regular
2014-03-22,Tigres,Querétaro,0,2,regular
2014-03-22,Pachuca,Chiapas,2,0,regular
2014-03-22,León,Cruz Azul,0,0,regular
2014-03-22,Atlas,Chivas,1,1,regular
2014-03-23,Pumas,Monterrey,1,2,regular
2014-03-23,Atlante,Toluca,2,1,regular
2014-03-28,Querétaro,Tijuana,2,1,regular
2014-03-28,Santos,Pumas,2,1,regular
2014-03-29,Veracruz,Pachuca,3,1,regular
2014-03-29,Cruz Azul,Atlas,1,3,regular
2014-03-29,Monterrey,Atlante,3,2,regular
2014-03-29,Toluca,Tigres,2,1,regular
2014-03-29,Chiapas,Morelia,1,0,regular
2014-03-30,Puebla,León,1,1,regular
2014-03-30,Chivas,América,0,4,regular
2014-04-04,Morelia,Veracruz,1,1,regular
2014-04-04,Tijuana,Toluca,3,1,regular
2014-04-05,América,Cruz Azul,1,2,regular
2014-04-05,Pachuca,Chivas,1,3,regular
2014-04-05,Monterrey,Santos,2,2,regular
2014-04-05,León,Querétaro,1,1,regular
2014-04-05,Atlas,Puebla,0,0,regular
2014-04-06,Pumas,Chiapas,2,1,regular
2014-04-06,Atlante,Tigres,0,2,regular
2014-04-11,Querétaro,Atlas,1,0,regular
2014-04-12,Veracruz,Pumas,1,1,regular
2014-04-12,Cruz Azul,Pachuca,2,2,regular
2014-04-12,Tigres,Tijuana,1,1,regular
2014-04-12,Chiapas,Monterrey,1,1,regular
2014-04-13,Toluca,León,2,1,regular
2014-04-13,Puebla,América,0,1,regular
2014-04-13,Chivas,Morelia,1,1,regular
2014-04-13,Santos,Atlante,4,3,regular
2014-04-18,Morelia,Cruz Azul,5,1,regular
2014-04-19,América,Querétaro,0,0,regular
2014-04-19,Santos,Chiapas,2,3,regular
2014-04-19,Pachuca,Puebla,1,2,regular
2014-04-19,Monterrey,Veracruz,4,1,regular
2014-04-19,León,Tigres,3,0,regular
2014-04-19,Atlas,Toluca,1,0,regular
2014-04-20,Pumas,Chivas,1,0,regular
2014-04-20,Atlante,Tijuana,1,2,regular
2014-04-25,Querétaro,Pachuca,3,4,regular
2014-04-25,Tijuana,León,1,2,regular
2014-04-26,Veracruz,Santos,2,2,regular
2014-04-26,Cruz Azul,Pumas,2,1,regular
2014-04-26,Tigres,Atlas,2,1,regular
2014-04-26,Chiapas,Atlante,5,2,regular
2014-04-27,Toluca,América,1,1,regular
2014-04-27,Puebla,Morelia,3,1,regular
2014-04-27,Chivas,Monterrey,0,1,regular
2014-04-30,América,Santos,5,3,liguilla
2014-04-30,León,Cruz Azul,1,1,liguilla
2014-05-01,Pachuca,Pumas,1,1,liguilla
2014-05-01,Tijuana,Toluca,0,0,liguilla
2014-05-03,Cruz Azul,León,2,2,liguilla
2014-05-03,Santos,América,3,1,liguilla
2014-05-04,Toluca,Tijuana,3,1,liguilla
2014-05-04,Pumas,Pachuca,2,4,liguilla
2014-05-07,Pachuca,Santos,2,0,liguilla
2014-05-08,León,Toluca,1,0,liguilla
2014-05-10,Santos,Pachuca,4,2,liguilla
2014-05-11,Toluca,León,0,1,liguilla
2014-05-15,León,Pachuca,2,3,liguilla
2014-05-18,Pachuca,León,0,2,liguilla
2014-07-18,Querétaro,Pumas,1,3,regular
2014-07-18,Tijuana,Puebla,0,1,regular
2014-07-19,Cruz Azul,Pachuca,0,1,regular
2014-07-19,Veracruz,Santos,0,1,regular
2014-07-19,Monterrey,Leones Negros,3,1,regular
2014-07-19,León,América,1,2,regular
2014-07-19,Atlas,Tigres,0,0,regular
2014-07-20,Toluca,Morelia,0,0,regular
2014-07-20,Chivas,Chiapas,1,1,regular
2014-07-25,Morelia,Atlas,0,2,regular
2014-07-25,Santos,Cruz Azul,1,1,regular
2014-07-26,Puebla,Veracruz,0,0,regular
2014-07-26,América,Tijuana,2,1,regular
2014-07-26,Tigres,León,4,2,regular
2014-07-26,Pachuca,Monterrey,0,1,regular
2014-07-26,Chiapas,Toluca,2,1,regular
2014-07-27,Pumas,Chivas,0,1,regular
2014-07-27,Leones Negros,Querétaro,0,1,regular
2014-08-01,Querétaro,Pachuca,2,0,regular
2014-08-01,Tijuana,Tigres,1,1,regular
2014-08-02,Cruz Azul,Veracruz,0,0,regular
2014-08-02,Puebla,América,0,4,regular
2014-08-02,Monterrey,Santos,0,0,regular
2014-08-02,León,Morelia,4,0,regular
2014-08-02,Atlas,Chiapas,4,2,regular
2014-08-03,Toluca,Pumas,2,1,regular
2014-08-08,Morelia,Tijuana,0,0,regular
2014-08-08,Veracruz,Monterrey,2,1,regular
2014-08-09,Cruz Azul,Puebla,1,0,regular
2014-08-09,Tigres,América,0,2,regular
2014-08-09,Santos,Querétaro,2,3,regular
2014-08-09,Pachuca,Chivas,3,0,regular
2014-08-09,Chiapas,León,3,2,regular
2014-08-10,Pumas,Atlas,0,1,regular
2014-08-10,Leones Negros,Toluca,0,0,regular
2014-08-14,León,Pumas,2,1,regular
2014-08-15,Querétaro,Veracruz,0,0,regular
2014-08-15,Tijuana,Chiapas,2,1,regular
2014-08-16,Puebla,Tigres,1,1,regular
2014-08-16,América,Morelia,3,2,regular
2014-08-16,Monterrey,Cruz Azul,3,1,regular
2014-08-16,Atlas,Leones Negros,1,0,regular
2014-08-17,Toluca,Pachuca,3,0,regular
2014-08-17,Chivas,Santos,0,1,regular
2014-08-22,Morelia,Tigres,1,5,regular
2014-08-22,Santos,Toluca,3,0,regular
2014-08-23,Cruz Azul,Querétaro,2,1,regular
2014-08-23,Veracruz,Chivas,0,0,regular
2014-08-23,Monterrey,Puebla,1,0,regular
2014-08-23,Pachuca,Atlas,3,1,regular
2014-08-23,Chiapas,América,0,0,regular
2014-08-24,Pumas,Tijuana,1,1,regular
2014-08-24,Leones Negros,León,1,0,regular
2014-08-29,Querétaro,Monterrey,0,1,regular
2014-08-29,Tijuana,Leones Negros,1,1,regular
2014-08-30,Puebla,Morelia,3,2,regular
2014-08-30,América,Pumas,0,1,regular
2014-08-30,Tigres,Chiapas,0,2,regular
2014-08-30,León,Pachuca,1,2,regular
2014-08-30,Atlas,Santos,1,1,regular
2014-08-31,Toluca,Veracruz,2,1,regular
2014-08-31,Chivas,Cruz Azul,0,0,regular
2014-09-07,Chivas,Leones Negros,3,0,regular
2014-09-12,Querétaro,Puebla,1,1,regular
2014-09-12,Veracruz,Atlas,1,1,regular
2014-09-12,Santos,León,2,0,regular
2014-09-13,Cruz Azul,Toluca,1,2,regular
2014-09-13,Pachuca,Tijuana,1,1,regular
2014-09-13,Leones Negros,América,0,0,regular
2014-09-13,Chiapas,Morelia,1,1,regular
2014-09-14,Pumas,Tigres,2,2,regular
2014-09-19,Morelia,Pumas,2,3,regular
2014-09-19,Tijuana,Santos,4,1,regular
2014-09-20,Puebla,Chiapas,1,1,regular
2014-09-20,América,Pachuca,2,1,regular
2014-09-20,Tigres,Leones Negros,1,0,regular
2014-09-20,León,Veracruz,3,1,regular
2014-09-20,Atlas,Cruz Azul,2,1,regular
2014-09-21,Toluca,Monterrey,1,0,regular
2014-09-21,Chivas,Querétaro,1,4,regular
2014-09-26,Veracruz,Tijuana,1,0,regular
2014-09-26,Querétaro,Toluca,1,1,regular
2014-09-26,Santos,América,1,4,regular
2014-09-27,Cruz Azul,León,1,0,regular
2014-09-27,Monterrey,Atlas,2,1,regular
2014-09-27,Pachuca,Tigres,2,3,regular
2014-09-27,Leones Negros,Morelia,1,2,regular
2014-09-28,Pumas,Chiapas,2,2,regular
2014-09-28,Chivas,Puebla,0,0,regular
2014-09-30,León,Monterrey,1,3,regular
2014-09-30,Atlas,Querétaro,2,1,regular
2014-09-30,Tigres,Santos,1,1,regular
2014-10-01,Puebla,Pumas,1,2,regular
2014-10-01,América,Veracruz,2,0,regular
2014-10-01,Morelia,Pachuca,0,1,regular
2014-10-01,Chiapas,Leones Negros,1,1,regular
2014-10-01,Tijuana,Cruz Azul,0,0,regular
2014-10-02,Toluca,Chivas,3,1,regular
2014-10-03,Querétaro,León,1,2,regular
2014-10-04,Cruz Azul,América,4,0,regular
2014-10-04,Veracruz,Tigres,0,1,regular
2014-10-04,Monterrey,Tijuana,1,1,regular
2014-10-04,Santos,Morelia,2,2,regular
2014-10-04,Pachuca,Chiapas,2,0,regular
2014-10-04,Leones Negros,Pumas,1,0,regular
2014-10-05,Toluca,Puebla,1,1,regular
2014-10-05,Chivas,Atlas,0,1,regular
2014-10-17,Morelia,Veracruz,0,1,regular
2014-10-17,Tijuana,Querétaro,2,1,regular
2014-10-18,Puebla,Leones Negros,1,1,regular
2014-10-18,América,Monterrey,2,0,regular
2014-10-18,Tigres,Cruz Azul,1,0,regular
2014-10-18,León,Chivas,2,1,regular
2014-10-18,Atlas,Toluca,0,2,regular
2014-10-18,Chiapas,Santos,2,0,regular
2014-10-19,Pumas,Pachuca,1,1,regular
2014-10-24,Querétaro,América,3,2,regular
2014-10-24,Santos,Pumas,1,1,regular
2014-10-25,Cruz Azul,Morelia,3,1,regular
2014-10-25,Veracruz,Chiapas,1,2,regular
2014-10-25,Monterrey,Tigres,2,2,regular
2014-10-25,Pachuca,Leones Negros,0,0,regular
2014-10-25,Atlas,Puebla,2,1,regular
2014-10-26,Toluca,León,2,3,regular
2014-10-26,Chivas,Tijuana,3,3,regular
2014-10-31,Morelia,Monterrey,2,1,regular
2014-10-31,Tijuana,Toluca,0,1,regular
2014-11-01,Puebla,Pachuca,1,1,regular
2014-11-01,América,Chivas,0,0,regular
2014-11-01,Tigres,Querétaro,1,0,regular
2014-11-01,León,Atlas,4,0,regular
2014-11-01,Leones Negros,Santos,1,1,regular
2014-11-01,Chiapas,Cruz Azul,0,0,regular
2014-11-02,Pumas,Veracruz,0,0,regular
2014-11-07,Querétaro,Morelia,2,0,regular
2014-11-07,Santos,Pachuca,2,1,regular
2014-11-08,Cruz Azul,Pumas,0,2,regular
2014-11-08,Veracruz,Leones Negros,0,1,regular
2014-11-08,Monterrey,Chiapas,1,2,regular
2014-11-08,León,Puebla,0,0,regular
2014-11-08,Atlas,Tijuana,1,1,regular
2014-11-09,Toluca,América,2,2,regular
2014-11-09,Chivas,Tigres,0,0,regular
2014-11-15,Monterrey,Chivas,1,0,regular
2014-11-21,Morelia,Chivas,1,2,regular
2014-11-21,Tijuana,León,3,2,regular
2014-11-22,Puebla,Santos,3,3,regular
2014-11-22,América,Atlas,1,2,regular
2014-11-22,Tigres,Toluca,2,1,regular
2014-11-22,Leones Negros,Cruz Azul,1,1,regular
2014-11-22,Pachuca,Veracruz,1,0,regular
2014-11-22,Chiapas,Querétaro,2,1,regular
2014-11-23,Pumas,Monterrey,4,2,regular
2014-11-26,Pachuca,Tigres,1,1,liguilla
2014-11-26,Pumas,América,1,0,liguilla
2014-11-27,Monterrey,Atlas,0,1,liguilla
2014-11-27,Chiapas,Toluca,1,1,liguilla
2014-11-29,América,Pumas,1,0,liguilla
2014-11-29,Tigres,Pachuca,1,1,liguilla
2014-11-30,Toluca,Chiapas,1,1,liguilla
2014-11-30,Atlas,Monterrey,0,2,liguilla
2014-12-04,Toluca,Tigres,0,0,liguilla
2014-12-04,Monterrey,América,0,3,liguilla
2014-12-07,Tigres,Toluca,0,0,liguilla
2014-12-07,América,Monterrey,0,0,liguilla
2014-12-11,Tigres,América,1,0,liguilla
2014-12-14,América,Tigres,3,0,liguilla
2015-01-09,Santos,Veracruz,1,2,regular
2015-01-09,Morelia,Toluca,0,0,regular
2015-01-10,América,León,3,2,regular
2015-01-10,Puebla,Tijuana,2,1,regular
2015-01-10,Tigres,Atlas,0,1,regular
2015-01-10,Pachuca,Cruz Azul,0,1,regular
2015-01-10,Chiapas,Chivas,2,1,regular
2015-01-11,Pumas,Querétaro,1,1,regular
2015-01-11,Leones Negros,Monterrey,1,0,regular
2015-01-16,Querétaro,Leones Negros,1,0,regular
2015-01-16,Veracruz,Puebla,3,1,regular
2015-01-16,Tijuana,América,1,0,regular
2015-01-17,Cruz Azul,Santos,1,0,regular
2015-01-17,Monterrey,Pachuca,1,0,regular
2015-01-17,León,Tigres,0,1,regular
2015-01-17,Atlas,Morelia,2,1,regular
2015-01-18,Toluca,Chiapas,3,0,regular
2015-01-18,Chivas,Pumas,2,1,regular
2015-01-23,Morelia,León,0,0,regular
2015-01-23,Veracruz,Cruz Azul,0,0,regular
2015-01-23,Santos,Monterrey,4,1,regular
2015-01-24,América,Puebla,0,0,regular
2015-01-24,Tigres,Tijuana,1,2,regular
2015-01-24,Pachuca,Querétaro,2,1,regular
2015-01-24,Chiapas,Atlas,3,1,regular
2015-01-25,Pumas,Toluca,3,2,regular
2015-01-25,Leones Negros,Chivas,1,1,regular
2015-01-30,Querétaro,Santos,0,1,regular
2015-01-30,Tijuana,Morelia,4,2,regular
2015-01-31,Puebla,Cruz Azul,0,0,regular
2015-01-31,América,Tigres,1,0,regular
2015-01-31,Monterrey,Veracruz,1,1,regular
2015-01-31,Chivas,Pachuca,1,0,regular
2015-01-31,León,Chiapas,1,1,regular
2015-01-31,Atlas,Pumas,1,1,regular
2015-02-01,Toluca,Leones Negros,3,1,regular
2015-02-06,Morelia,América,2,2,regular
2015-02-06,Veracruz,Querétaro,1,1,regular
2015-02-06,Santos,Chivas,1,0,regular
2015-02-07,Cruz Azul,Monterrey,1,0,regular
2015-02-07,Tigres,Puebla,1,0,regular
2015-02-07,Pachuca,Toluca,1,1,regular
2015-02-07,Chiapas,Tijuana,2,2,regular
2015-02-08,Pumas,León,1,3,regular
2015-02-08,Leones Negros,Atlas,0,2,regular
2015-02-13,Querétaro,Cruz Azul,1,2,regular
2015-02-13,Tijuana,Pumas,3,0,regular
2015-02-14,Puebla,Monterrey,2,0,regular
2015-02-14,América,Chiapas,5,0,regular
2015-02-14,Tigres,Morelia,1,0,regular
2015-02-14,León,Leones Negros,2,1,regular
2015-02-14,Atlas,Pachuca,1,3,regular
2015-02-15,Toluca,Santos,2,2,regular
2015-02-15,Chivas,Veracruz,0,0,regular
2015-02-20,Morelia,Puebla,1,2,regular
2015-02-20,Veracruz,Toluca,3,0,regular
2015-02-20,Santos,Atlas,0,1,regular
2015-02-21,Cruz Azul,Chivas,1,2,regular
2015-02-21,Monterrey,Querétaro,2,1,regular
2015-02-21,Pachuca,León,2,1,regular
2015-02-21,Chiapas,Tigres,1,0,regular
2015-02-22,Pumas,América,0,1,regular
2015-02-22,Leones Negros,Tijuana,0,1,regular
2015-02-27,Morelia,Chiapas,3,2,regular
2015-02-27,Tijuana,Pachuca,3,2,regular
2015-02-28,Puebla,Querétaro,4,1,regular
2015-02-28,América,Leones Negros,0,1,regular
2015-02-28,Tigres,Pumas,3,0,regular
2015-02-28,León,Santos,2,1,regular
2015-02-28,Atlas,Veracruz,0,3,regular
2015-03-01,Toluca,Cruz Azul,1,0,regular
2015-03-01,Chivas,Monterrey,3,0,regular
2015-03-06,Veracruz,León,1,0,regular
2015-03-06,Querétaro,Chivas,1,0,regular
2015-03-07,Cruz Azul,Atlas,1,1,regular
2015-03-07,Santos,Tijuana,1,1,regular
2015-03-07,Monterrey,Toluca,3,2,regular
2015-03-07,Pachuca,América,0,0,regular
2015-03-07,Chiapas,Puebla,2,2,regular
2015-03-08,Pumas,Morelia,2,1,regular
2015-03-08,Leones Negros,Tigres,2,1,regular
2015-03-13,Morelia,Leones Negros,0,1,regular
2015-03-13,Tijuana,Veracruz,3,1,regular
2015-03-14,Puebla,Chivas,1,2,regular
2015-03-14,América,Santos,1,0,regular
2015-03-14,Tigres,Pachuca,2,1,regular
2015-03-14,León,Cruz Azul,2,2,regular
2015-03-14,Atlas,Monterrey,2,1,regular
2015-03-14,Chiapas,Pumas,0,2,regular
2015-03-15,Toluca,Querétaro,1,0,regular
2015-03-20,Querétaro,Atlas,2,0,regular
2015-03-20,Veracruz,América,4,0,regular
2015-03-20,Santos,Tigres,2,2,regular
2015-03-21,Cruz Azul,Tijuana,2,1,regular
2015-03-21,Monterrey,León,5,1,regular
2015-03-21,Pachuca,Morelia,2,0,regular
2015-03-21,Leones Negros,Chiapas,0,1,regular
2015-03-22,Pumas,Puebla,2,1,regular
2015-03-22,Chivas,Toluca,1,0,regular
2015-04-03,Morelia,Santos,0,1,regular
2015-04-04,Puebla,Toluca,0,1,regular
2015-04-04,América,Cruz Azul,1,0,regular
2015-04-04,Tigres,Veracruz,3,1,regular
2015-04-04,Chiapas,Pachuca,2,2,regular
2015-04-04,León,Querétaro,4,5,regular
2015-04-04,Tijuana,Monterrey,3,4,regular
2015-04-04,Atlas,Chivas,1,1,regular
2015-04-05,Pumas,Leones Negros,2,0,regular
2015-04-10,Querétaro,Tijuana,2,1,regular
2015-04-10,Veracruz,Morelia,1,1,regular
2015-04-10,Santos,Chiapas,4,3,regular
2015-04-11,Cruz Azul,Tigres,2,0,regular
2015-04-11,Monterrey,América,1,1,regular
2015-04-11,Pachuca,Pumas,3,1,regular
2015-04-11,Leones Negros,Puebla,1,1,regular
2015-04-12,Toluca,Atlas,0,0,regular
2015-04-12,Chivas,León,1,0,regular
2015-04-17,Morelia,Cruz Azul,2,0,regular
2015-04-17,Chiapas,Veracruz,1,1,regular
2015-04-17,Tijuana,Chivas,1,1,regular
2015-04-18,Puebla,Atlas,0,1,regular
2015-04-18,América,Querétaro,0,4,regular
2015-04-18,Tigres,Monterrey,3,0,regular
2015-04-18,León,Toluca,1,1,regular
2015-04-19,Pumas,Santos,1,0,regular
2015-04-19,Leones Negros,Pachuca,1,1,regular
2015-04-24,Querétaro,Tigres,1,3,regular
2015-04-24,Veracruz,Pumas,3,3,regular
2015-04-24,Santos,Leones Negros,1,0,regular
2015-04-25,Cruz Azul,Chiapas,0,1,regular
2015-04-25,Monterrey,Morelia,1,0,regular
2015-04-25,Pachuca,Puebla,2,1,regular
2015-04-25,Atlas,León,3,2,regular
2015-04-26,Toluca,Tijuana,2,0,regular
2015-04-26,Chivas,América,1,1,regular
2015-05-01,Morelia,Querétaro,1,2,regular
2015-05-01,Tijuana,Atlas,1,2,regular
2015-05-02,Puebla,León,2,0,regular
2015-05-02,América,Toluca,3,1,regular
2015-05-02,Tigres,Chivas,2,1,regular
2015-05-02,Pachuca,Santos,2,3,regular
2015-05-02,Chiapas,Monterrey,0,2,regular
2015-05-03,Pumas,Cruz Azul,0,1,regular
2015-05-03,Leones Negros,Veracruz,1,2,regular
2015-05-08,Querétaro,Chiapas,1,0,regular
2015-05-08,Veracruz,Pachuca,1,2,regular
2015-05-09,Monterrey,Pumas,2,2,regular
2015-05-09,León,Tijuana,6,2,regular
2015-05-09,Santos,Puebla,2,2,regular
2015-05-09,Cruz Azul,Leones Negros,0,2,regular
2015-05-09,Atlas,América,1,2,regular
2015-05-10,Toluca,Tigres,0,0,regular
2015-05-10,Chivas,Morelia,2,3,regular
2015-05-13,Santos,Tigres,1,1,liguilla
2015-05-13,Pachuca,América,3,2,liguilla
2015-05-14,Querétaro,Veracruz,2,1,liguilla
2015-05-14,Chivas,Atlas,0,0,liguilla
2015-05-16,América,Pachuca,3,4,liguilla
2015-05-16,Tigres,Santos,0,1,liguilla
2015-05-17,Atlas,Chivas,1,4,liguilla
2015-05-17,Veracruz,Querétaro,2,2,liguilla
2015-05-21,Pachuca,Querétaro,2,0,liguilla
2015-05-21,Santos,Chivas,0,0,liguilla
2015-05-24,Chivas,Santos,0,3,liguilla
2015-05-24,Querétaro,Pachuca,2,0,liguilla
2015-05-28,Santos,Querétaro,5,0,liguilla
2015-05-31,Querétaro,Santos,3,0,liguilla
2015-07-24,Veracruz,Chivas,2,0,regular
2015-07-25,Cruz Azul,Morelia,0,3,regular
2015-07-25,Tigres,Toluca,0,1,regular
2015-07-25,Pachuca,Tijuana,2,1,regular
2015-07-25,Atlas,Querétaro,0,2,regular
2015-07-25,Santos,León,1,3,regular
2015-07-25,Dorados,Chiapas,0,0,regular
2015-07-26,Pumas,Monterrey,3,0,regular
2015-07-26,Puebla,América,4,2,regular
2015-07-31,Querétaro,Pachuca,1,2,regular
2015-07-31,Tijuana,Dorados,1,2,regular
2015-08-01,América,Atlas,1,3,regular
2015-08-01,León,Veracruz,4,1,regular
2015-08-01,Morelia,Tigres,1,0,regular
2015-08-01,Chiapas,Santos,2,1,regular
2015-08-02,Toluca,Pumas,2,1,regular
2015-08-02,Chivas,Cruz Azul,0,1,regular
2015-08-07,Veracruz,Chiapas,2,1,regular
2015-08-07,Santos,Tijuana,0,1,regular
2015-08-08,Cruz Azul,León,2,0,regular
2015-08-08,Pachuca,América,0,3,regular
2015-08-08,Atlas,Monterrey,0,3,regular
2015-08-08,Dorados,Querétaro,1,1,regular
2015-08-09,Toluca,Morelia,0,1,regular
2015-08-09,Puebla,Pumas,3,2,regular
2015-08-09,Tigres,Chivas,2,2,regular
2015-08-11,América,Dorados,4,0,regular
2015-08-11,Querétaro,Santos,1,2,regular
2015-08-11,Monterrey,Pachuca,4,3,regular
2015-08-11,Tijuana,Veracruz,1,3,regular
2015-08-12,Puebla,Toluca,1,0,regular
2015-08-12,León,Tigres,2,1,regular
2015-08-12,Chivas,Morelia,2,0,regular
2015-08-12,Chiapas,Cruz Azul,2,1,regular
2015-08-12,Pumas,Atlas,5,0,regular
2015-08-14,Veracruz,Querétaro,2,2,regular
2015-08-14,Santos,América,0,2,regular
2015-08-15,Cruz Azul,Tijuana,1,3,regular
2015-08-15,Morelia,León,3,4,regular
2015-08-15,Tigres,Chiapas,4,1,regular
2015-08-15,Pachuca,Pumas,1,2,regular
2015-08-15,Atlas,Puebla,2,1,regular
2015-08-15,Dorados,Monterrey,1,4,regular
2015-08-16,Toluca,Chivas,3,1,regular
2015-08-21,Querétaro,Cruz Azul,4,2,regular
2015-08-21,Tijuana,Tigres,1,2,regular
2015-08-22,América,Veracruz,3,1,regular
2015-08-22,Monterrey,Santos,1,1,regular
2015-08-22,León,Chivas,1,0,regular
2015-08-22,Atlas,Toluca,1,2,regular
2015-08-22,Chiapas,Morelia,3,1,regular
2015-08-23,Pumas,Dorados,2,0,regular
2015-08-23,Puebla,Pachuca,3,2,regular
2015-08-28,Veracruz,Monterrey,2,1,regular
2015-08-28,Santos,Pumas,3,4,regular
2015-08-29,Cruz Azul,América,0,2,regular
2015-08-29,Tigres,Querétaro,5,1,regular
2015-08-29,Pachuca,Atlas,1,1,regular
2015-08-29,Morelia,Tijuana,1,2,regular
2015-08-29,Dorados,Puebla,1,0,regular
2015-08-30,Toluca,León,1,3,regular
2015-08-30,Chivas,Chiapas,4,1,regular
2015-09-11,Querétaro,Morelia,0,1,regular
2015-09-11,Tijuana,Chivas,2,1,regular
2015-09-12,América,Tigres,0,1,regular
2015-09-12,Monterrey,Cruz Azul,1,1,regular
2015-09-12,Pachuca,Toluca,3,4,regular
2015-09-12,Atlas,Dorados,3,2,regular
2015-09-12,Chiapas,León,6,2,regular
2015-09-13,Pumas,Veracruz,3,0,regular
2015-09-13,Puebla,Santos,0,1,regular
2015-09-18,Veracruz,Puebla,2,1,regular
2015-09-18,Santos,Atlas,0,2,regular
2015-09-19,Cruz Azul,Pumas,2,1,regular
2015-09-19,Tigres,Monterrey,3,1,regular
2015-09-19,León,Tijuana,2,1,regular
2015-09-19,Morelia,América,0,3,regular
2015-09-19,Dorados,Pachuca,1,2,regular
2015-09-20,Toluca,Chiapas,1,1,regular
2015-09-20,Chivas,Querétaro,2,1,regular
2015-09-25,Querétaro,León,3,0,regular
2015-09-25,Tijuana,Chiapas,1,1,regular
2015-09-26,América,Chivas,1,2,regular
2015-09-26,Monterrey,Morelia,2,2,regular
2015-09-26,Pachuca,Santos,0,0,regular
2015-09-26,Atlas,Veracruz,0,1,regular
2015-09-26,Dorados,Toluca,1,2,regular
2015-09-27,Pumas,Tigres,1,0,regular
2015-09-27,Puebla,Cruz Azul,2,1,regular
2015-09-29,Toluca,Tijuana,4,1,regular
2015-09-29,León,América,3,0,regular
2015-09-29,Chivas,Monterrey,2,1,regular
2015-09-29,Chiapas,Querétaro,0,0,regular
2015-09-29,Santos,Dorados,1,1,regular
2015-09-29,Veracruz,Pachuca,0,1,regular
2015-09-30,Morelia,Pumas,2,2,regular
2015-09-30,Cruz Azul,Atlas,1,1,regular
2015-09-30,Tigres,Puebla,0,1,regular
2015-10-02,Querétaro,Tijuana,2,1,regular
2015-10-03,América,Chiapas,2,1,regular
2015-10-03,Santos,Toluca,0,0,regular
2015-10-03,Monterrey,León,4,0,regular
2015-10-03,Atlas,Tigres,0,1,regular
2015-10-04,Pumas,Chivas,1,0,regular
2015-10-04,Puebla,Morelia,1,3,regular
2015-10-09,Monterrey,Puebla,1,1,regular
2015-10-16,Veracruz,Santos,0,3,regular
2015-10-16,Tijuana,América,0,2,regular
2015-10-17,Cruz Azul,Dorados,1,1,regular
2015-10-17,Tigres,Pachuca,2,1,regular
2015-10-17,León,Pumas,1,3,regular
2015-10-17,Morelia,Atlas,0,1,regular
2015-10-17,Chiapas,Monterrey,2,2,regular
2015-10-18,Toluca,Querétaro,4,2,regular
2015-10-18,Chivas,Puebla,1,1,regular
2015-10-23,Veracruz,Toluca,3,2,regular
2015-10-23,Santos,Cruz Azul,1,2,regular
2015-10-24,América,Querétaro,0,1,regular
2015-10-24,Monterrey,Tijuana,3,1,regular
2015-10-24,Pachuca,Morelia,2,0,regular
2015-10-24,Dorados,Tigres,0,0,regular
2015-10-25,Pumas,Chiapas,2,3,regular
2015-10-25,Puebla,León,1,0,regular
2015-10-30,Querétaro,Monterrey,3,1,regular
2015-10-30,Tijuana,Pumas,1,2,regular
2015-10-31,Cruz Azul,Veracruz,1,1,regular
2015-10-31,Tigres,Santos,2,2,regular
2015-10-31,León,Atlas,2,1,regular
2015-10-31,Morelia,Dorados,4,0,regular
2015-10-31,Chiapas,Puebla,1,0,regular
2015-11-01,Toluca,América,2,3,regular
2015-11-01,Chivas,Pachuca,4,4,regular
2015-11-06,Veracruz,Tigres,1,3,regular
2015-11-06,Santos,Morelia,2,3,regular
2015-11-07,Cruz Azul,Toluca,1,2,regular
2015-11-07,Monterrey,América,2,1,regular
2015-11-07,Pachuca,León,3,2,regular
2015-11-07,Atlas,Chiapas,2,3,regular
2015-11-07,Dorados,Chivas,2,1,regular
